ID	Number	Name	Plural	TeReo	Hierarchy	GazetteerName	OSMClass	OSMType	OSMLandUse	WikiLink	WikiData	WikiMi
fe_93	93	Foreshore					natural	coastline		https://en.wikipedia.org/wiki/Intertidal_zone	Q421069	
fe_94	94	Forest		Wao	3	Forest	natural	wood	forest	https://en.wikipedia.org/wiki/Forest	Q4421	
fe_95	95	Forest park				Forest	natural	wood	forest			
fe_96	96	Fork	Forks			Fork	highway					
fe_97	97	Fort	Pā				historic	fort		https://en.wikipedia.org/wiki/Fortification	Q1785071	
fe_98	98	Fortress					historic	fort		https://en.wikipedia.org/wiki/Fortification	Q57831	
fe_99	99	Freezing works				Building	man_made	works	industrial	https://en.wikipedia.org/wiki/Slaughterhouse	Q385557	
fe_100	100	Garden	Gardens	Māra			leisure	garden		https://en.wikipedia.org/wiki/Garden	Q1107656	
fe_101	101	Geothermal region				Locality	natural	hot_spring				
fe_102	102	Geothermal station					natural	hot_spring		https://en.wikipedia.org/wiki/Geothermal_power	Q30565277	
fe_103	103	Geriatric hospital				Building	amenity	hospital				
fe_104	104	Geyser					natural	geyser		https://en.wikipedia.org/wiki/Geyser	Q83471	
fe_105	105	Girls' college				Building	amenity	college				
fe_106	106	Glacier		Awa kōpaka		Glacier	natural	glacier		https://en.wikipedia.org/wiki/Glacier	Q35666	
fe_107	107	Glen					natural	valley		https://en.wikipedia.org/wiki/Glen	Q1976531	
fe_108	108	Golf course		Papa hahaupōro		Recreation	sport	golf	recreation_ground	https://en.wikipedia.org/wiki/Golf_course	Q1048525	
fe_109	109	Gong		Pahu			tourism	attraction		https://en.wikipedia.org/wiki/Gong	Q208320	
fe_110	110	Gorge		Awaawa			natural	valley		https://en.wikipedia.org/wiki/Canyon	Q55462851	
fe_111	111	Greeting					spoken			https://en.wikipedia.org/wiki/Greeting	Q45594	
fe_112	112	Gulf					natural			https://en.wikipedia.org/wiki/Gulf	Q1322134	
fe_113	113	Gully					natural			https://en.wikipedia.org/wiki/Gully	Q1361400	
fe_114	114	Hall			26	Building	building			https://en.wikipedia.org/wiki/Hall	Q240854	
fe_115	115	Harbour					waterway	dock	harbour	https://en.wikipedia.org/wiki/Harbor	Q283202	
fe_116	116	Harbour end					waterway	dock	harbour			
fe_117	117	Harbour entrance					waterway	dock	harbour			
fe_118	118	Harbour mouth					waterway	dock	harbour			
fe_119	119	Head	Heads				natural	peninsula		https://en.wikipedia.org/wiki/Headland	Q191992	
fe_120	120	Headland					natural	peninsula		https://en.wikipedia.org/wiki/Headland	Q191992	
fe_121	121	High School		Haikura		Building	amenity	school		https://en.wikipedia.org/wiki/Secondary_school	Q9826	
fe_122	122	Hill	Hills			Hill	natural	peak		https://en.wikipedia.org/wiki/Hill	Q54050	
fe_123	123	Home				Building	building			https://en.wikipedia.org/wiki/Home	Q7743	
fe_124	124	Hospice				Building	amenity			https://en.wikipedia.org/wiki/Hospice	Q608152	
fe_125	125	Hospital				Building	amenity	hospital		https://en.wikipedia.org/wiki/Hospital	Q16917	
fe_126	126	Hostel		Wharenoho	40	Building	tourism	hostel		https://en.wikipedia.org/wiki/Hostel	Q654772	
fe_127	127	Hot pool	Hot pools				natural	hot_spring				
fe_128	128	Hot spring	Hot springs				natural	hot_spring		https://en.wikipedia.org/wiki/Hot_spring	Q177380	
fe_129	129	House			28	Building	building		residential	https://en.wikipedia.org/wiki/House	Q3947	
fe_130	130	Hydro station				Building	power	plant		https://en.wikipedia.org/wiki/Hydroelectricity	Q15911738	
fe_131	131	IHC school				Building	amenity	school				
fe_132	132	Inlet		Koko			waterway	river		https://en.wikipedia.org/wiki/Inlet	Q1172599	
fe_133	133	Intro					spoken			https://en.wikipedia.org/wiki/Introduction_(writing)	Q305178	
fe_134	134	Island	Islands	Motu	5	Island	place	island		https://en.wikipedia.org/wiki/Island	Q23442	
fe_135	135	Islet				Island	place	islet		https://en.wikipedia.org/wiki/Islet	Q207524	
fe_136	136	Isthmus				Isthmus	natural	isthmus		https://en.wikipedia.org/wiki/Isthmus	Q93267	
fe_137	137	Junction			11		highway			https://en.wikipedia.org/wiki/Road_junction	Q1788454	
fe_138	138			Kāika			place		residential			
fe_139	139	Kaumātua flats			29	Building	building	residential	residential	https://en.wikipedia.org/wiki/Retirement_home	Q22908	
fe_140	140	Agathis australis		Kauri			natural	tree		https://en.wikipedia.org/wiki/Agathis	Q955413	
fe_141	141	Kitchen		Kīhini	56	Building	amenity	kitchen		https://en.wikipedia.org/wiki/Kitchen	Q43164	
fe_142	142			Kōhanga reo	25	Building	amenity	school		https://en.wikipedia.org/wiki/M%C4%81ori_language_revival	Q493511	
fe_143	143	Kōkiri centre			24	Building	amenity					
